"Iteration"	"posterior"	"NumSpeciation"	"numExtinction"	"numMassExtinctions"
33500	-1825.58043733429	2	1	3
33600	-1835.70376978561	2	1	4
33700	-1822.49314081677	1	1	2
33800	-1832.24503949721	1	1	3
33900	-1834.70148212394	1	1	4
34000	-1827.85162662552	1	1	2
34100	-1824.77958203851	1	1	2
34200	-1834.8346599356	2	1	3
34300	-1821.21242109	2	1	1
34400	-1827.159196339	3	1	2
34500	-1848.01784827831	4	1	5
34600	-1823.49976541507	3	1	1
34700	-1833.02131373101	5	1	1
34800	-1853.53164016484	5	2	4
34900	-1840.47926370894	5	1	3
35000	-1839.91378130819	5	1	4
35100	-1832.09335324868	1	1	4
35200	-1818.8158302461	1	1	1
35300	-1823.79884332879	1	1	2
35400	-1851.33394219135	4	1	4
35500	-1824.83055471756	1	1	3
35600	-1840.3746333164	3	1	4
35700	-1827.88513042679	1	2	2
35800	-1823.80666021292	1	1	2
35900	-1824.63715743629	2	1	1
36000	-1823.9057345649	1	1	2
36100	-1837.85817372848	2	1	3
36200	-1823.89364584274	2	1	1
36300	-1845.85509359748	5	1	3
36400	-1826.41261070336	3	1	1
36500	-1826.45092942308	2	1	2
36600	-1829.4610212955	1	1	3
36700	-1827.70158446102	4	1	1
36800	-1847.32972581024	4	3	1
36900	-1823.58884552404	1	1	3
37000	-1831.18540375763	1	1	4
37100	-1833.7228594496	1	2	3
37200	-1832.18298136864	2	1	3
37300	-1849.48262137938	6	1	3
37400	-1846.39996538688	5	1	2
37500	-1829.88959025003	3	1	2
37600	-1831.77306708978	3	1	2
37700	-1830.07776600042	1	1	4
37800	-1839.58924048855	1	1	5
37900	-1831.69505705756	1	1	3
38000	-1831.53514182574	1	1	4
38100	-1835.09701979648	1	1	5
38200	-1823.06328969513	1	1	1
38300	-1826.11823966569	1	1	4
38400	-1834.47747304775	2	1	4
38500	-1842.42730657319	3	2	4
38600	-1832.78686329162	3	2	1
38700	-1839.63506742982	2	1	4
38800	-1821.85459128738	2	1	1
38900	-1839.0142368578	2	1	3
39000	-1827.81902316984	3	1	1
39100	-1829.20052476057	2	1	2
39200	-1828.22300487676	3	1	1
39300	-1823.05590512574	2	1	1
39400	-1830.01262752258	3	2	1
39500	-1819.9041967551	1	1	1
39600	-1824.68023954131	1	1	2
39700	-1820.48956903265	1	1	2
39800	-1831.49864220756	1	2	2
39900	-1823.02837045045	2	1	2
40000	-1828.68046706415	1	1	4
40100	-1858.00533298382	2	1	8
40200	-1848.31957809704	2	1	6
40300	-1828.37456805395	2	1	3
40400	-1823.26350750965	1	1	2
40500	-1827.54053109164	1	1	2
40600	-1830.40133248102	1	1	3
40700	-1821.41890127623	1	1	2
40800	-1843.47863929401	5	1	3
40900	-1835.41944365159	2	1	3
41000	-1820.28129773835	1	1	1
41100	-1826.87588960739	2	1	1
41200	-1825.73443552559	2	1	2
41300	-1831.43654960987	2	1	2
41400	-1837.50602618971	2	1	4
41500	-1828.28049756026	3	1	1
41600	-1835.98477669899	2	1	3
41700	-1828.17586132752	1	1	3
41800	-1825.73691638777	1	1	2
41900	-1829.31719716194	3	1	2
42000	-1835.17415295862	1	1	5
42100	-1837.13714769281	4	1	3
42200	-1839.64874465832	3	1	4
42300	-1825.96838838394	1	1	2
42400	-1840.99591651293	2	1	5
42500	-1834.81638313271	3	1	3
42600	-1834.56066650987	2	2	3
42700	-1826.65808588195	1	2	2
42800	-1828.53123124746	1	1	3
42900	-1835.41577392375	2	1	4
43000	-1840.482306595	2	1	4
43100	-1838.83698403536	4	1	2
43200	-1828.77886882841	1	1	2
43300	-1824.20783371525	1	1	2
43400	-1825.99344843955	1	1	2
43500	-1828.74445666884	2	1	2
43600	-1848.59666330417	3	1	5
43700	-1829.99050503442	2	1	2
43800	-1828.27964271498	3	1	1
43900	-1842.90194337979	3	1	4
44000	-1827.17811898197	1	1	3
44100	-1825.15610327706	1	2	1
44200	-1818.72106381171	1	1	1
44300	-1824.35092450591	1	1	2
44400	-1827.19039408331	2	1	2
44500	-1824.21783346632	2	1	1
44600	-1826.73861251403	2	1	2
44700	-1839.71512869529	5	1	2
44800	-1832.8852936544	1	1	3
44900	-1824.59877854665	2	1	1
45000	-1839.52085151398	1	1	5
45100	-1831.2941411493	2	1	3
45200	-1822.94740544515	1	1	2
45300	-1846.26966899573	4	1	4
45400	-1823.713214995	1	1	3
45500	-1822.77821452444	1	1	2
45600	-1824.0259042521	1	1	2
45700	-1828.53338736335	1	1	3
45800	-1832.87395283545	1	1	5
45900	-1833.64391200845	1	1	5
46000	-1828.59849073896	1	1	3
46100	-1835.72530030706	1	1	4
46200	-1828.44690476555	1	1	3
46300	-1827.31465864862	1	1	4
46400	-1831.83429861814	1	1	4
46500	-1829.724562243	2	1	3
46600	-1831.07031282056	2	1	3
46700	-1830.13202531989	1	3	1
46800	-1820.98922071051	1	1	2
46900	-1836.95258384264	1	1	4
47000	-1825.22715622669	1	1	3
47100	-1832.81777767707	1	1	4
47200	-1847.26176158748	2	1	6
47300	-1822.55066530344	1	1	2
47400	-1820.29651540836	1	1	1
47500	-1838.34416617571	1	1	3
47600	-1822.80199256885	1	1	2
47700	-1823.55393432436	1	1	2
47800	-1830.82313752943	3	1	2
47900	-1855.20226581173	5	1	4
48000	-1826.62441503799	2	1	2
48100	-1825.87330642738	2	1	2
48200	-1829.58475477222	2	2	1
48300	-1825.88006756132	2	1	2
48400	-1819.48340479524	1	1	1
48500	-1842.67566274415	3	1	3
48600	-1828.67657832353	2	1	2
48700	-1820.1049165108	1	1	1
48800	-1827.65255828095	1	2	2
48900	-1822.09591036784	2	1	1
49000	-1836.84910775592	2	1	3
49100	-1829.05193444601	2	1	2
49200	-1826.28378360706	2	1	2
49300	-1851.34494011352	5	1	4
49400	-1821.87843390643	1	1	2
49500	-1837.11891361418	3	1	3
49600	-1821.71439187902	1	1	2
49700	-1829.33824712197	1	1	3
49800	-1831.28928969981	1	1	4
49900	-1829.92386036028	1	1	4
50000	-1837.87236962538	1	1	4
50100	-1833.64545710379	2	1	2
50200	-1830.87802075069	1	1	3
50300	-1821.82311755199	1	1	2
50400	-1846.22723796045	1	1	6
50500	-1834.71833452827	1	1	4
50600	-1838.95042318915	1	2	3
50700	-1835.43587837	2	1	4
50800	-1853.27611022987	1	2	6
50900	-1847.44404261076	4	2	3
51000	-1832.44472353673	2	2	2
51100	-1819.94919625459	1	1	1
51200	-1823.3565921861	1	1	3
51300	-1827.39633583392	1	1	1
51400	-1837.65472670686	5	1	1
51500	-1823.64465901251	1	1	3
51600	-1826.84694029337	1	2	1
51700	-1830.29481144654	3	1	2
51800	-1844.9450202324	4	1	3
51900	-1825.0041079926	1	1	2
52000	-1823.50675314304	1	1	2
52100	-1829.57017525297	1	1	3
52200	-1837.77431757061	2	1	4
52300	-1824.21913677347	1	1	3
52400	-1823.79750129381	1	1	2
52500	-1824.80303166356	1	1	3
52600	-1838.62973039047	1	1	4
52700	-1825.98842549874	2	1	2
52800	-1830.04326227639	2	1	2
52900	-1828.02530585871	1	1	2
53000	-1823.42018836136	2	1	2
53100	-1838.67075082235	2	1	4
53200	-1826.71450009984	2	1	2
53300	-1822.5821986985	2	1	1
53400	-1826.8071187881	1	1	2
53500	-1830.62761865689	1	2	2
53600	-1836.44554323377	1	1	4
53700	-1820.35357301092	1	1	1
53800	-1827.87454681689	3	1	1
53900	-1832.36779915858	1	1	3
54000	-1823.45451125273	1	1	2
54100	-1838.99846793982	4	1	2
54200	-1822.20058735053	1	1	2
54300	-1833.97873268917	1	1	4
54400	-1832.04170558798	1	1	4
54500	-1832.6985446282	2	1	3
54600	-1822.29218120049	2	1	1
54700	-1834.5278842417	1	1	4
54800	-1831.9276007335	1	1	3
54900	-1833.54305372891	2	1	3
55000	-1832.07033728347	3	1	2
55100	-1830.57112463419	1	1	2
55200	-1830.0845455724	1	1	2
55300	-1829.58525991085	1	1	3
55400	-1827.0754774652	2	1	2
55500	-1836.23171778613	4	1	2
55600	-1847.2932139292	6	1	2
55700	-1818.82017340263	1	1	1
55800	-1828.56014475945	2	1	2
55900	-1825.88902187493	2	1	2
56000	-1832.81078602053	3	2	2
56100	-1837.11459691577	3	2	2
56200	-1833.84633938175	1	2	2
56300	-1834.84648435716	1	2	3
56400	-1835.06860234915	2	2	2
56500	-1832.2538357793	1	2	2
56600	-1845.10490460123	5	2	1
56700	-1839.33620381013	2	2	2
56800	-1853.48709375965	4	2	4
56900	-1827.51161960838	2	1	2
57000	-1837.27667709329	3	1	4
57100	-1830.94928882055	2	1	4
57200	-1822.92690322311	1	1	2
57300	-1824.42528753495	1	1	2
57400	-1833.87862107029	1	1	4
57500	-1821.68765560074	1	1	2
57600	-1824.94225994724	1	1	2
57700	-1820.99702867624	1	1	2
57800	-1824.90141715259	2	1	1
57900	-1831.76361068796	1	1	4
58000	-1827.37323913611	1	1	2
58100	-1830.84805291001	1	1	3
58200	-1828.14568874265	1	1	3
58300	-1822.94437214124	2	1	1
58400	-1827.7541699043	3	1	1
58500	-1826.44911560187	1	1	2
58600	-1838.31044799218	2	1	4
58700	-1833.11460694649	3	1	2
58800	-1835.32059434907	2	1	4
58900	-1833.58423408358	3	1	2
59000	-1837.37406699837	3	1	2
59100	-1837.38551290472	1	1	5
59200	-1829.22527970645	2	1	3
59300	-1829.40682865266	1	1	3
59400	-1822.92067944166	1	1	2
59500	-1821.48521879328	1	1	2
59600	-1828.07682743584	1	1	2
59700	-1825.80914651457	1	1	2
59800	-1823.85520471162	1	1	2
59900	-1823.12955748846	1	1	2
60000	-1821.44171140592	1	1	2
60100	-1827.75709033975	1	1	2
60200	-1826.5013284228	1	1	2
60300	-1821.61204270444	1	1	2
60400	-1824.02883934065	1	1	3
60500	-1826.19046625296	1	1	3
60600	-1829.71161091828	1	1	3
60700	-1837.65553994178	1	1	5
60800	-1830.76688880524	2	1	3
60900	-1824.75864600936	1	1	2
61000	-1823.5761133882	1	1	2
61100	-1838.9298242607	3	2	2
61200	-1831.54077997757	3	1	2
61300	-1826.76911913718	2	1	3
61400	-1833.62758815193	2	1	4
61500	-1843.62122129903	5	1	4
61600	-1839.56057834603	3	1	3
61700	-1837.59999624079	4	1	3
61800	-1842.2726946785	3	1	4
61900	-1829.2297298665	3	1	2
62000	-1821.88090535027	1	1	2
62100	-1823.02323814526	2	1	1
62200	-1829.3271996449	1	1	3
62300	-1832.22952991115	3	1	2
62400	-1847.36119869965	5	1	4
62500	-1823.31214189174	2	1	1
62600	-1828.16397869799	1	1	2
62700	-1833.03086473195	1	1	4
62800	-1829.90598807153	2	1	4
62900	-1828.75084911963	1	1	3
63000	-1831.80175264419	3	1	2
63100	-1823.29865555059	2	1	1
63200	-1831.26112476407	3	1	2
63300	-1837.15650783621	3	2	2
63400	-1819.39370531433	1	1	1
63500	-1837.74675352207	1	1	4
63600	-1838.27315037673	3	1	3
63700	-1821.57303188045	1	1	2
63800	-1841.68679715367	2	1	5
63900	-1820.79940521184	1	1	2
64000	-1834.21611686047	2	1	3
64100	-1840.31711260007	2	1	4
64200	-1828.32656457201	1	1	3
64300	-1822.29869794491	1	1	2
64400	-1820.18460150022	1	1	1
64500	-1829.80006987927	1	1	4
64600	-1825.49703251384	1	1	3
64700	-1862.97758804573	6	1	5
64800	-1839.98296716398	1	1	4
64900	-1824.24613045942	1	1	3
65000	-1844.52430788212	2	1	5
65100	-1842.44307309405	3	1	4
65200	-1826.52865302194	2	1	2
65300	-1823.50377722605	2	1	1
65400	-1828.94403389849	1	1	3
65500	-1831.44373953613	1	1	3
65600	-1825.64042280492	3	1	1
65700	-1836.77795127336	3	1	3
65800	-1826.17799559232	1	1	2
65900	-1821.81538586646	1	1	2
66000	-1820.69123002467	1	1	2
66100	-1845.6872411918	3	1	4
66200	-1839.15550182303	2	1	5
66300	-1836.21984265956	3	1	3
66400	-1827.99030299261	2	1	2
66500	-1824.96172863909	2	1	1
66600	-1832.99168152542	3	1	2
66700	-1833.73205253303	3	1	1
66800	-1840.20309575391	3	1	3
66900	-1832.05690574778	2	1	3
67000	-1839.52914684273	2	1	5
67100	-1833.47069054222	2	1	3
